Season,TEAM,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
2012-2013,Utah Jazz,82,98,37.1,81.8,45.4,6.2,16.9,36.6,17.5,23,76.4,12.1,30,42,22.7,8.4,6.3,14.2,21.3
2012-2013,Atlanta Hawks,82,98,37.6,81,46.4,8.6,23.2,37.1,14.1,19.7,71.5,9.2,31.6,40.9,24.5,8.1,4.5,14.3,18
2012-2013,Portland Trail Blazers,82,97.5,36.7,81.9,44.8,8.2,23.2,35.3,15.9,20.5,77.6,10.7,30.2,40.8,21.8,6.6,4.3,14.2,18.5
2012-2013,Toronto Raptors,82,97.2,36.3,81.5,44.6,7,20.3,34.3,17.6,22.3,78.8,10.6,29.6,40.2,21.5,7.3,4.8,13.2,22.4
2012-2013,Brooklyn Nets,82,96.9,35.9,79.8,45,7.7,21.5,35.7,17.5,23.9,73.1,12.8,30,42.8,20.3,7.3,4.8,13.9,18.3
2012-2013,Boston Celtics,81,96.5,37,79.7,46.5,6.1,17.2,35.8,16.3,21,77.6,8.1,31.3,39.3,22.8,8.2,4.5,13.9,21.2
2012-2013,Cleveland Cavaliers,82,96.5,36.5,84.2,43.4,6.7,19.3,34.6,16.8,22.3,75.6,12.2,28.8,41,20.7,7.9,4.1,13.4,21.2
2012-2013,Minnesota Timberwolves,82,95.7,35.9,81.7,43.9,5.5,18,30.5,18.5,24.9,74.2,11.9,30.2,42,22.4,8.5,4.7,14.1,18.4
2012-2013,Phoenix Suns,82,95.2,37.3,84.4,44.3,5.9,17.7,33,14.7,19.7,74.4,11.7,29.9,41.6,22.6,8,5.3,14.9,20.6
2012-2013,Detroit Pistons,82,94.9,36.3,81,44.9,6.3,17.6,35.6,15.9,22.8,69.9,12.1,30,42.1,21.2,7,4.9,14.6,19.8
2012-2013,Indiana Pacers,81,94.7,35.1,80.6,43.6,6.9,19.7,34.7,17.6,23.6,74.6,12.9,33,45.9,20.3,7.2,6.3,14.5,20
2012-2013,Orlando Magic,82,94.1,37.7,84.2,44.8,6.2,18.7,32.9,12.5,16.6,75.5,10.9,31.9,42.7,22.8,6.4,4.4,14,19.4
2012-2013,New Orleans Hornets,82,94.1,36,80.4,44.8,6.5,18,36.3,15.5,20,77.6,12,29.6,41.6,21,6.3,5.4,13.7,20.4
2012-2013,Charlotte Bobcats,82,93.4,34.4,81.1,42.5,5.7,17.1,33.5,18.9,25.1,75,11.2,29.1,40.3,19.4,7.2,5.8,13.1,19
2012-2013,Memphis Grizzlies,82,93.4,36.1,81.5,44.4,4.7,13.5,34.5,16.5,21.3,77.3,12.9,29.8,42.7,20.9,8.6,5.3,13.2,20.2
2012-2013,Washington Wizards,82,93.2,35.5,81.6,43.5,6.6,18.2,36.5,15.6,21.3,73.3,10.8,32.3,43.2,21.6,7.3,4.6,14.6,20.5
2012-2013,Chicago Bulls,82,93.2,35.7,81.7,43.7,5.4,15.4,35.3,16.4,21.2,77.3,12.5,30.7,43.2,23,7.2,5.1,13.7,19.7
2012-2013,Philadelphia 76ers,82,93.2,37.3,84.1,44.4,6.3,17.5,36,12.2,16.8,72.9,10.9,30.4,41.3,22.8,7.4,4.7,12.6,18.4
2011-2012,Denver Nuggets,66,104.1,39,81.9,47.6,6.6,19.9,33.2,19.6,26.7,73.5,11.2,31.9,43.1,24,8.2,5,15.4,19.7
2011-2012,San Antonio Spurs,66,103.7,39.6,82.8,47.8,8.4,21.3,39.3,16.2,21.6,74.8,10.3,32.6,43,23.2,7.4,4.4,13.6,17.3
2011-2012,Oklahoma City Thunder,66,103.1,37.3,79.2,47.1,7.2,20,35.8,21.3,26.4,80.6,11,32.7,43.7,18.5,7.5,8.2,16.3,20.5
2011-2012,Utah Jazz,66,99.7,38.2,83.8,45.6,4.1,12.8,32.3,19.1,25.3,75.4,13,31.1,44.2,21.8,8.3,5.8,14.2,21.8
2011-2012,Milwaukee Bucks,66,99,37.9,85.6,44.3,6.6,19.2,34.5,16.6,21.4,77.4,12.4,30,42.5,23.5,8.3,5.1,14.1,19.3
2011-2012,Sacramento Kings,66,98.8,37.7,86.5,43.6,6.2,19.7,31.6,17.1,23.2,73.6,13.4,29.5,42.9,19.3,8.5,4.9,14.4,19.5
